metric,family,source_method,method_display,mean,std,n_values,datasets,na_datasets,rank_after_global_sort
UltraRareACC,scRAW,scRAW,scRAW,0.6408203282554717,0.314362066186412,7,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow,Tabula Muris liver,2
UltraRareACC,Rare Specific,CellSIUS,CellSIUS,0.5760765486834154,0.28684564567517984,7,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow,Tabula Muris liver,3
UltraRareACC,Correction batch,Scanorama,Scanorama,0.5745519597932459,0.3852687915584302,7,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow,Tabula Muris liver,4
UltraRareACC,Correction batch,Harmony,Harmony,0.5421129511924522,0.4039247943997795,7,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow,Tabula Muris liver,5
UltraRareACC,Correction batch,ComBat,ComBat,0.45029279012691853,0.44016175149771614,7,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow,Tabula Muris liver,6
UltraRareACC,Méthodes généralistes,pca_leiden,PCA+Leiden,0.4178385438113906,0.4065336020849855,7,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow,Tabula Muris liver,7
UltraRareACC,Rare Specific,scAIDE,scAIDE,0.35895117424279105,0.37691925542928306,7,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow,Tabula Muris liver,8
UltraRareACC,Méthodes généralistes,scvi,scVI,0.2941237932566273,0.3919429501797,7,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow,Tabula Muris liver,9
UltraRareACC,Méthodes généralistes,scMAE,scMAE,0.2908107892047203,0.35399935701764085,7,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar; Paul15 bone marrow,Tabula Muris liver,10
Batch correction,Méthodes généralistes,scvi,scVI,0.6714209823308718,0.13605967187864593,6,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar,Paul15 bone marrow; Tabula Muris liver,1
Batch correction,Correction batch,Harmony,Harmony,0.6669698277626862,0.20811999847296125,6,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar,Paul15 bone marrow; Tabula Muris liver,2
Batch correction,scRAW,scRAW,scRAW,0.6363450654061681,0.13758422450231772,6,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar,Paul15 bone marrow; Tabula Muris liver,3
Batch correction,Correction batch,DESC,DESC,0.6283601007628016,0.18829012936414538,6,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar,Paul15 bone marrow; Tabula Muris liver,4
Batch correction,Rare Specific,DeepScena,DeepScena,0.5819212764875005,0.11808550201992316,6,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar,Paul15 bone marrow; Tabula Muris liver,5
Batch correction,Rare Specific,scAIDE,scAIDE,0.5656820398359288,0.15867029881198033,6,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar,Paul15 bone marrow; Tabula Muris liver,6
Batch correction,Méthodes généralistes,pca_leiden,PCA+Leiden,0.563295832739123,0.1211885931255249,6,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar,Paul15 bone marrow; Tabula Muris liver,7
Batch correction,Correction batch,ComBat,ComBat,0.5476932732640653,0.25598160968002115,6,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar,Paul15 bone marrow; Tabula Muris liver,8
Batch correction,Rare Specific,scCAD,scCAD,0.5319395260184513,0.09332675266790572,6,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar,Paul15 bone marrow; Tabula Muris liver,9
Batch correction,Méthodes généralistes,scNAME,scNAME,0.5233972371739988,0.13660553364453581,6,BBAG094 Zeisel; BBAG094 spleen; Baron human pancreas; Human testis GSE112013; Kang PBMC; Macaque retina bipolar,Paul15 bone marrow; Tabula Muris liver,10
