mode_key,mode,algorithm_key,Methode,cell_type,error_rate,support_mean,support_min,support_max
transductive,Transductif,scdeepcluster,scDeepCluster,quiescent_stellate,0.04508670520231213,173.0,173.0,173.0
transductive,Transductif,scdeepcluster,scDeepCluster,endothelial,0.024603174603174648,252.0,252.0,252.0
transductive,Transductif,scdeepcluster,scDeepCluster,gamma,0.014117647058823523,255.0,255.0,255.0
transductive,Transductif,scdeepcluster,scDeepCluster,activated_stellate,0.09084507042253523,284.0,284.0,284.0
transductive,Transductif,scdeepcluster,scDeepCluster,delta,0.03793677204658898,601.0,601.0,601.0
transductive,Transductif,scdeepcluster,scDeepCluster,acinar,0.07640918580375784,958.0,958.0,958.0
transductive,Transductif,scdeepcluster,scDeepCluster,ductal,0.49953574744661094,1077.0,1077.0,1077.0
transductive,Transductif,scdeepcluster,scDeepCluster,alpha,0.4493551160791058,2326.0,2326.0,2326.0
transductive,Transductif,scdeepcluster,scDeepCluster,beta,0.25140594059405935,2525.0,2525.0,2525.0
transductive,Transductif,scname,scNAME,t_cell,0.8,7.0,7.0,7.0
transductive,Transductif,scname,scNAME,schwann,0.8,13.0,13.0,13.0
transductive,Transductif,scname,scNAME,epsilon,1.0,18.0,18.0,18.0
transductive,Transductif,scname,scNAME,mast,1.0,25.0,25.0,25.0
transductive,Transductif,scname,scNAME,macrophage,0.06909090909090912,55.0,55.0,55.0
transductive,Transductif,scname,scNAME,quiescent_stellate,0.2196531791907514,173.0,173.0,173.0
transductive,Transductif,scname,scNAME,endothelial,0.07857142857142858,252.0,252.0,252.0
transductive,Transductif,scname,scNAME,gamma,0.015686274509803956,255.0,255.0,255.0
transductive,Transductif,scname,scNAME,activated_stellate,0.18098591549295773,284.0,284.0,284.0
transductive,Transductif,scname,scNAME,delta,0.038269550748752046,601.0,601.0,601.0
transductive,Transductif,scname,scNAME,acinar,0.017327766179540682,958.0,958.0,958.0
transductive,Transductif,scname,scNAME,ductal,0.5571030640668524,1077.0,1077.0,1077.0
transductive,Transductif,scname,scNAME,alpha,0.4578675838349097,2326.0,2326.0,2326.0
transductive,Transductif,scname,scNAME,beta,0.1737821782178218,2525.0,2525.0,2525.0
transductive,Transductif,sccdcg,scCDCG,t_cell,0.9714285714285715,7.0,7.0,7.0
transductive,Transductif,sccdcg,scCDCG,schwann,0.9692307692307691,13.0,13.0,13.0
transductive,Transductif,sccdcg,scCDCG,epsilon,0.6444444444444445,18.0,18.0,18.0
transductive,Transductif,sccdcg,scCDCG,mast,0.624,25.0,25.0,25.0
transductive,Transductif,sccdcg,scCDCG,macrophage,0.7163636363636364,55.0,55.0,55.0
transductive,Transductif,sccdcg,scCDCG,quiescent_stellate,0.6,173.0,173.0,173.0
transductive,Transductif,sccdcg,scCDCG,endothelial,0.1873015873015873,252.0,252.0,252.0
transductive,Transductif,sccdcg,scCDCG,gamma,0.012549019607843114,255.0,255.0,255.0
transductive,Transductif,sccdcg,scCDCG,activated_stellate,0.2950704225352113,284.0,284.0,284.0
transductive,Transductif,sccdcg,scCDCG,delta,0.2955074875207987,601.0,601.0,601.0
transductive,Transductif,sccdcg,scCDCG,acinar,0.3457202505219207,958.0,958.0,958.0
transductive,Transductif,sccdcg,scCDCG,ductal,0.28152274837511604,1077.0,1077.0,1077.0
transductive,Transductif,sccdcg,scCDCG,alpha,0.022269991401547708,2326.0,2326.0,2326.0
transductive,Transductif,sccdcg,scCDCG,beta,0.037623762376237636,2525.0,2525.0,2525.0
