mode_key,mode,algorithm_key,Methode,seed,NMI,ARI,ACC,BalancedACC,F1Macro,RareACC,UltraRareACC,n_eval,n_rare_cells,n_ultrarare_cells,min_class_support
inductive,Inductif,scdeepcluster,scDeepCluster,0,0.6882441776349806,0.4069371851955563,0.512720156555773,0.515353837094094,0.5341405735837611,0.7479674796747967,0.6363636363636364,1022.0,123.0,22.0,1.0
inductive,Inductif,scdeepcluster,scDeepCluster,1,0.6821151661887431,0.4354559764050312,0.5499021526418787,0.5687303305486187,0.5297676489977109,0.7804878048780488,0.36363636363636365,1022.0,123.0,22.0,1.0
inductive,Inductif,scdeepcluster,scDeepCluster,2,0.667082280887025,0.3940239171049944,0.5146771037181996,0.4929268162532365,0.5242930877880363,0.6910569105691057,0.3181818181818182,1022.0,123.0,22.0,1.0
inductive,Inductif,scdeepcluster,scDeepCluster,3,0.7031310466573811,0.47824701517645046,0.5724070450097848,0.5294575493249712,0.5247030741956787,0.8048780487804879,0.3181818181818182,1022.0,123.0,22.0,1.0
inductive,Inductif,scdeepcluster,scDeepCluster,4,0.7021375959802147,0.4795786469990391,0.5645792563600783,0.5045669147588132,0.521320253760826,0.8373983739837398,0.2727272727272727,1022.0,123.0,22.0,1.0
inductive,Inductif,scname,scNAME,0,0.7003053153222227,0.487515456707196,0.5968688845401174,0.4466675326471496,0.44958435886861625,0.4878048780487805,0.22727272727272727,1022.0,123.0,22.0,1.0
inductive,Inductif,scname,scNAME,1,0.6893753472200171,0.4534660358705536,0.5440313111545988,0.43237463876758564,0.437992918925723,0.4878048780487805,0.22727272727272727,1022.0,123.0,22.0,1.0
inductive,Inductif,scname,scNAME,2,0.6962301814596007,0.47273372443081996,0.5821917808219178,0.44384563749092837,0.44786719009601367,0.4959349593495935,0.22727272727272727,1022.0,123.0,22.0,1.0
inductive,Inductif,scname,scNAME,3,0.6904093721043059,0.44540746638069245,0.5352250489236791,0.42529278416153143,0.43319795557571494,0.4959349593495935,0.22727272727272727,1022.0,123.0,22.0,1.0
inductive,Inductif,scname,scNAME,4,0.6612334296612511,0.43746281173028556,0.538160469667319,0.4525436630562853,0.4366762153661123,0.5447154471544715,0.2727272727272727,1022.0,123.0,22.0,1.0
inductive,Inductif,sccdcg,scCDCG,0,0.6193775265720495,0.43969815466542006,0.5518590998043053,0.3657239358873155,0.3721838952864988,0.6666666666666666,0.045454545454545456,1022.0,123.0,22.0,1.0
inductive,Inductif,sccdcg,scCDCG,1,0.6336540709261052,0.47170819514874107,0.5675146771037182,0.42582663420813655,0.4139784784842706,0.7073170731707317,0.18181818181818182,1022.0,123.0,22.0,1.0
