mode_key,mode,algorithm_key,Methode,cell_type,error_rate,support_mean,support_min,support_max
transductive,Transductif,pca_kmeans,PCA+KMeans,quiescent_stellate,0.06217616580310881,193.0,193.0,193.0
transductive,Transductif,pca_kmeans,PCA+KMeans,macrophage,0.03797468354430378,79.0,79.0,79.0
transductive,Transductif,pca_kmeans,PCA+KMeans,mast,0.9333333333333333,42.0,42.0,42.0
transductive,Transductif,pca_kmeans,PCA+KMeans,epsilon,1.0,32.0,32.0,32.0
transductive,Transductif,pca_kmeans,PCA+KMeans,schwann,0.808,25.0,25.0,25.0
transductive,Transductif,pca_kmeans,PCA+KMeans,t_cell,1.0,7.0,7.0,7.0
transductive,Transductif,pca_leiden,PCA+Leiden,alpha,0.5015164644714039,4616.0,4616.0,4616.0
transductive,Transductif,pca_leiden,PCA+Leiden,beta,0.33270270270270275,3700.0,3700.0,3700.0
transductive,Transductif,pca_leiden,PCA+Leiden,ductal,0.5599626691553896,2143.0,2143.0,2143.0
transductive,Transductif,pca_leiden,PCA+Leiden,acinar,0.4242968282465589,1671.0,1671.0,1671.0
transductive,Transductif,pca_leiden,PCA+Leiden,delta,0.4367428003972195,1007.0,1007.0,1007.0
transductive,Transductif,pca_leiden,PCA+Leiden,gamma,0.6737012987012987,616.0,616.0,616.0
transductive,Transductif,pca_leiden,PCA+Leiden,activated_stellate,0.0021551724137931494,464.0,464.0,464.0
transductive,Transductif,pca_leiden,PCA+Leiden,endothelial,0.03194888178913735,313.0,313.0,313.0
transductive,Transductif,pca_leiden,PCA+Leiden,quiescent_stellate,1.0,193.0,193.0,193.0
transductive,Transductif,pca_leiden,PCA+Leiden,macrophage,0.012658227848101222,79.0,79.0,79.0
transductive,Transductif,pca_leiden,PCA+Leiden,mast,0.976190476190476,42.0,42.0,42.0
transductive,Transductif,pca_leiden,PCA+Leiden,epsilon,0.84375,32.0,32.0,32.0
transductive,Transductif,pca_leiden,PCA+Leiden,schwann,0.8400000000000001,25.0,25.0,25.0
transductive,Transductif,pca_leiden,PCA+Leiden,t_cell,1.0,7.0,7.0,7.0
transductive,Transductif,sc_mae,scMAE,alpha,0.4589688041594454,4616.0,4616.0,4616.0
transductive,Transductif,sc_mae,scMAE,beta,0.3271891891891892,3700.0,3700.0,3700.0
transductive,Transductif,sc_mae,scMAE,ductal,0.11451236584227713,2143.0,2143.0,2143.0
transductive,Transductif,sc_mae,scMAE,acinar,0.42716935966487135,1671.0,1671.0,1671.0
transductive,Transductif,sc_mae,scMAE,delta,0.3984111221449851,1007.0,1007.0,1007.0
transductive,Transductif,sc_mae,scMAE,gamma,0.6779220779220779,616.0,616.0,616.0
transductive,Transductif,sc_mae,scMAE,activated_stellate,0.008189655172413813,464.0,464.0,464.0
transductive,Transductif,sc_mae,scMAE,endothelial,0.4127795527156549,313.0,313.0,313.0
transductive,Transductif,sc_mae,scMAE,quiescent_stellate,1.0,193.0,193.0,193.0
transductive,Transductif,sc_mae,scMAE,macrophage,0.04303797468354429,79.0,79.0,79.0
transductive,Transductif,sc_mae,scMAE,mast,0.3,42.0,42.0,42.0
transductive,Transductif,sc_mae,scMAE,epsilon,0.63125,32.0,32.0,32.0
transductive,Transductif,sc_mae,scMAE,schwann,0.48,25.0,25.0,25.0
transductive,Transductif,sc_mae,scMAE,t_cell,1.0,7.0,7.0,7.0
transductive,Transductif,scdeepcluster,scDeepCluster,alpha,0.6772097053726169,4616.0,4616.0,4616.0
transductive,Transductif,scdeepcluster,scDeepCluster,beta,0.3669189189189189,3700.0,3700.0,3700.0
transductive,Transductif,scdeepcluster,scDeepCluster,ductal,0.578814745683621,2143.0,2143.0,2143.0
transductive,Transductif,scdeepcluster,scDeepCluster,acinar,0.45984440454817477,1671.0,1671.0,1671.0
transductive,Transductif,scdeepcluster,scDeepCluster,delta,0.17298907646474676,1007.0,1007.0,1007.0
transductive,Transductif,scdeepcluster,scDeepCluster,gamma,0.1529220779220779,616.0,616.0,616.0
transductive,Transductif,scdeepcluster,scDeepCluster,activated_stellate,0.0336206896551724,464.0,464.0,464.0
transductive,Transductif,scdeepcluster,scDeepCluster,endothelial,0.06325878594249204,313.0,313.0,313.0
transductive,Transductif,scdeepcluster,scDeepCluster,quiescent_stellate,0.6953367875647668,193.0,193.0,193.0
transductive,Transductif,scdeepcluster,scDeepCluster,macrophage,0.030379746835443023,79.0,79.0,79.0
transductive,Transductif,scdeepcluster,scDeepCluster,mast,0.619047619047619,42.0,42.0,42.0
transductive,Transductif,scdeepcluster,scDeepCluster,epsilon,0.71875,32.0,32.0,32.0
transductive,Transductif,scdeepcluster,scDeepCluster,schwann,0.992,25.0,25.0,25.0
transductive,Transductif,scdeepcluster,scDeepCluster,t_cell,0.9428571428571428,7.0,7.0,7.0
transductive,Transductif,scname,scNAME,alpha,0.5650779896013864,4616.0,4616.0,4616.0
transductive,Transductif,scname,scNAME,beta,0.28962162162162164,3700.0,3700.0,3700.0
transductive,Transductif,scname,scNAME,ductal,0.4094260382641157,2143.0,2143.0,2143.0
transductive,Transductif,scname,scNAME,acinar,0.32052663076002397,1671.0,1671.0,1671.0
transductive,Transductif,scname,scNAME,delta,0.27765640516385304,1007.0,1007.0,1007.0
transductive,Transductif,scname,scNAME,gamma,0.836038961038961,616.0,616.0,616.0
transductive,Transductif,scname,scNAME,activated_stellate,0.056034482758620684,464.0,464.0,464.0
transductive,Transductif,scname,scNAME,endothelial,0.09137380191693292,313.0,313.0,313.0
transductive,Transductif,scname,scNAME,quiescent_stellate,0.8207253886010364,193.0,193.0,193.0
transductive,Transductif,scname,scNAME,macrophage,0.017721518987341756,79.0,79.0,79.0
transductive,Transductif,scname,scNAME,mast,0.9904761904761905,42.0,42.0,42.0
transductive,Transductif,scname,scNAME,epsilon,0.94375,32.0,32.0,32.0
transductive,Transductif,scname,scNAME,schwann,0.8959999999999999,25.0,25.0,25.0
transductive,Transductif,scname,scNAME,t_cell,0.9142857142857143,7.0,7.0,7.0
transductive,Transductif,sccdcg,scCDCG,alpha,0.3200606585788561,4616.0,4616.0,4616.0
transductive,Transductif,sccdcg,scCDCG,beta,0.20767567567567569,3700.0,3700.0,3700.0
transductive,Transductif,sccdcg,scCDCG,ductal,0.48399440037330843,2143.0,2143.0,2143.0
transductive,Transductif,sccdcg,scCDCG,acinar,0.5000598444045481,1671.0,1671.0,1671.0
transductive,Transductif,sccdcg,scCDCG,delta,0.0850049652432969,1007.0,1007.0,1007.0
transductive,Transductif,sccdcg,scCDCG,gamma,0.062987012987013,616.0,616.0,616.0
transductive,Transductif,sccdcg,scCDCG,activated_stellate,0.3060344827586207,464.0,464.0,464.0
transductive,Transductif,sccdcg,scCDCG,endothelial,0.2817891373801917,313.0,313.0,313.0
transductive,Transductif,sccdcg,scCDCG,quiescent_stellate,0.9326424870466321,193.0,193.0,193.0
transductive,Transductif,sccdcg,scCDCG,macrophage,0.8531645569620252,79.0,79.0,79.0
transductive,Transductif,sccdcg,scCDCG,mast,0.780952380952381,42.0,42.0,42.0
transductive,Transductif,sccdcg,scCDCG,epsilon,0.76875,32.0,32.0,32.0
transductive,Transductif,sccdcg,scCDCG,schwann,0.944,25.0,25.0,25.0
transductive,Transductif,sccdcg,scCDCG,t_cell,1.0,7.0,7.0,7.0
