dataset_key,dataset_label,algorithm,algorithm_label,split_key,train_groups,test_group,ACC,BalancedACC,ARI,NMI,RareACC,UltraRareACC,source,output_dir,BalancedACC_source_file,BalancedACC_source_key,BalancedRareACC
gse112013_human_testis_raw_counts,Human testis,scname,scNAME,batch,"Donor1_scRNA-seq_rep1,Donor1_scRNA-seq_rep2,Donor2_scRNA-seq_rep1,Donor2_scRNA-seq_rep2",Donor3_scRNA-seq_rep2,0.657243816254,0.734145309093,0.566448149555,0.796523588728,0.983146067416,0.7,new_run,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/gse112013_human_testis_raw_counts/scname/Donor3_scRNA-seq_rep2,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/gse112013_human_testis_raw_counts/scname/Donor3_scRNA-seq_rep2/metrics.json,metrics.BalancedACC,0.8333333333333334
gse112013_human_testis_raw_counts,Human testis,sc_mae,scMAE,batch,"Donor1_scRNA-seq_rep1,Donor1_scRNA-seq_rep2,Donor2_scRNA-seq_rep1,Donor2_scRNA-seq_rep2",Donor3_scRNA-seq_rep1,0.693548387097,0.791173858494,0.60920100299,0.814045027767,0.882926829268,0.75,new_run,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/gse112013_human_testis_raw_counts/sc_mae/Donor3_scRNA-seq_rep1,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/gse112013_human_testis_raw_counts/sc_mae/Donor3_scRNA-seq_rep1/metrics.json,metrics.BalancedACC,0.8712295051968965
gse112013_human_testis_raw_counts,Human testis,sc_mae,scMAE,batch,"Donor1_scRNA-seq_rep1,Donor1_scRNA-seq_rep2,Donor2_scRNA-seq_rep1,Donor2_scRNA-seq_rep2",Donor3_scRNA-seq_rep2,0.663427561837,0.804465274871,0.576131629804,0.785375429809,0.994382022472,1.0,new_run,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/gse112013_human_testis_raw_counts/sc_mae/Donor3_scRNA-seq_rep2,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/gse112013_human_testis_raw_counts/sc_mae/Donor3_scRNA-seq_rep2/metrics.json,metrics.BalancedACC,0.9967948717948718
gse112013_human_testis_raw_counts,Human testis,scdeepcluster,scDeepCluster,batch,"Donor1_scRNA-seq_rep1,Donor1_scRNA-seq_rep2,Donor2_scRNA-seq_rep1,Donor2_scRNA-seq_rep2",Donor3_scRNA-seq_rep1,0.758064516129,0.76150880173,0.61116264174,0.812672846555,0.839024390244,0.0,new_run,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/gse112013_human_testis_raw_counts/scdeepcluster/Donor3_scRNA-seq_rep1,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/gse112013_human_testis_raw_counts/scdeepcluster/Donor3_scRNA-seq_rep1/metrics.json,metrics.BalancedACC,0.7399127140974967
gse112013_human_testis_raw_counts,Human testis,scdeepcluster,scDeepCluster,batch,"Donor1_scRNA-seq_rep1,Donor1_scRNA-seq_rep2,Donor2_scRNA-seq_rep1,Donor2_scRNA-seq_rep2",Donor3_scRNA-seq_rep2,0.73851590106,0.762424094962,0.583307546448,0.79085243663,0.983146067416,0.7,new_run,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/gse112013_human_testis_raw_counts/scdeepcluster/Donor3_scRNA-seq_rep2,/data2/fbidet/scRAW_Inductif/results/inductive_multidataset_top4_representative_20260428/01_new_runs/gse112013_human_testis_raw_counts/scdeepcluster/Donor3_scRNA-seq_rep2/metrics.json,metrics.BalancedACC,0.8333333333333334
gse112013_human_testis_raw_counts,Human testis,scaide,scAIDE,batch,"Donor1_scRNA-seq_rep1,Donor1_scRNA-seq_rep2,Donor2_scRNA-seq_rep1,Donor2_scRNA-seq_rep2",Donor3_scRNA-seq_rep1,0.6899641577060932,0.7767098958334722,0.5770367081261278,0.8023617208149088,0.8292682926829268,0.75,inductive_section5_added_methods_20260529,/data2/fbidet/scRAW_Inductif/results/inductive_section5_added_methods_20260529/01_runs/gse112013_human_testis_raw_counts/scaide/Donor3_scRNA-seq_rep1,/data2/fbidet/scRAW_Inductif/results/inductive_section5_added_methods_20260529/01_runs/gse112013_human_testis_raw_counts/scaide/Donor3_scRNA-seq_rep1/metrics.json,metrics.BalancedACC,0.8326594751866491
gse112013_human_testis_raw_counts,Human testis,scaide,scAIDE,batch,"Donor1_scRNA-seq_rep1,Donor1_scRNA-seq_rep2,Donor2_scRNA-seq_rep1,Donor2_scRNA-seq_rep2",Donor3_scRNA-seq_rep2,0.6784452296819788,0.8144503648654696,0.5572188105239926,0.78996673559845,0.99438202247191,1.0,inductive_section5_added_methods_20260529,/data2/fbidet/scRAW_Inductif/results/inductive_section5_added_methods_20260529/01_runs/gse112013_human_testis_raw_counts/scaide/Donor3_scRNA-seq_rep2,/data2/fbidet/scRAW_Inductif/results/inductive_section5_added_methods_20260529/01_runs/gse112013_human_testis_raw_counts/scaide/Donor3_scRNA-seq_rep2/metrics.json,metrics.BalancedACC,0.9967948717948718
gse112013_human_testis_raw_counts,Human testis,scvi,scVI,batch,"Donor1_scRNA-seq_rep1,Donor1_scRNA-seq_rep2,Donor2_scRNA-seq_rep1,Donor2_scRNA-seq_rep2",Donor3_scRNA-seq_rep1,0.7903225806451613,0.7787237479943026,0.6484834180256984,0.8110790539479894,0.8829268292682927,0.0,inductive_section5_added_methods_20260529,/data2/fbidet/scRAW_Inductif/results/inductive_section5_added_methods_20260529/01_runs/gse112013_human_testis_raw_counts/scvi/Donor3_scRNA-seq_rep1,/data2/fbidet/scRAW_Inductif/results/inductive_section5_added_methods_20260529/01_runs/gse112013_human_testis_raw_counts/scvi/Donor3_scRNA-seq_rep1/metrics.json,metrics.BalancedACC,0.7544244986092812
gse112013_human_testis_raw_counts,Human testis,scvi,scVI,batch,"Donor1_scRNA-seq_rep1,Donor1_scRNA-seq_rep2,Donor2_scRNA-seq_rep1,Donor2_scRNA-seq_rep2",Donor3_scRNA-seq_rep2,0.7729681978798587,0.7528978359155627,0.6153475188791627,0.7855347974098941,0.9382022471910112,0.4,inductive_section5_added_methods_20260529,/data2/fbidet/scRAW_Inductif/results/inductive_section5_added_methods_20260529/01_runs/gse112013_human_testis_raw_counts/scvi/Donor3_scRNA-seq_rep2,/data2/fbidet/scRAW_Inductif/results/inductive_section5_added_methods_20260529/01_runs/gse112013_human_testis_raw_counts/scvi/Donor3_scRNA-seq_rep2/metrics.json,metrics.BalancedACC,0.7449175824175823
kang_pbmc_gse96583_singlets_raw_counts,Kang PBMC,scraw,scRAW,donor,"1015_ctrl,1015_stim,1488_ctrl,1488_stim,1256_ctrl,1256_stim,1016_ctrl,1016_stim,1244_ctrl,1244_stim,101_ctrl,101_stim",1039,0.7691532258064516,0.6293759030894934,0.6745911670429473,0.7147253395968526,0.3292682926829268,,scraw_trial0017_exact_used_as_scraw_final,/data2/fbidet/scRAW_Inductif/results/inductive_scraw_trial0017_exact_all_datasets_20260507_145430/01_scraw_runs/kang_pbmc_gse96583_singlets_raw_counts/scraw/1039,/data2/fbidet/scRAW_Inductif/results/inductive_scraw_trial0017_exact_all_datasets_20260507_145430/01_scraw_runs/kang_pbmc_gse96583_singlets_raw_counts/scraw/1039/metrics.json,metrics.BalancedACC,0.4495934959349594
