family,dataset,method,source_method,metric,value
Méthodes généralistes + Harmony,Kang PBMC,scNAME+Harmony,scNAME+Harmony,UltraRareACC,0.3076923076923077
Méthodes généralistes + Harmony,Kang PBMC,scRAW,scRAW (trial_0017),ACC,0.7057650028499308
Méthodes généralistes + Harmony,Kang PBMC,scRAW,scRAW (trial_0017),ARI,0.5459843343891061
Méthodes généralistes + Harmony,Kang PBMC,scRAW,scRAW (trial_0017),Batch correction,0.6843171205513716
Méthodes généralistes + Harmony,Kang PBMC,scRAW,scRAW (trial_0017),RareACC,0.678125
Méthodes généralistes + Harmony,Kang PBMC,scRAW,scRAW (trial_0017),UltraRareACC,0.8173076923076923
Méthodes généralistes + Harmony,Kang PBMC,scVI,scvi,ACC,0.8142903645833334
Méthodes généralistes + Harmony,Kang PBMC,scVI,scvi,ARI,0.8047318184810032
Méthodes généralistes + Harmony,Kang PBMC,scVI,scvi,Batch correction,0.6617871605130773
Méthodes généralistes + Harmony,Kang PBMC,scVI,scvi,RareACC,0.1576506955177743
Méthodes généralistes + Harmony,Kang PBMC,scVI,scvi,UltraRareACC,0.0372093023255813
Méthodes généralistes + Harmony,Macaque retina bipolar,Harmony,Harmony,ACC,0.9651178140056762
Méthodes généralistes + Harmony,Macaque retina bipolar,Harmony,Harmony,ARI,0.9412624306387202
Méthodes généralistes + Harmony,Macaque retina bipolar,Harmony,Harmony,Batch correction,0.6769074050934891
Méthodes généralistes + Harmony,Macaque retina bipolar,Harmony,Harmony,RareACC,0.9245049504950495
Méthodes généralistes + Harmony,Macaque retina bipolar,Harmony,Harmony,UltraRareACC,0.0068027210884353
Méthodes généralistes + Harmony,Macaque retina bipolar,scMAE+Harmony,scMAE+Harmony,ACC,0.9726750709524123
Méthodes généralistes + Harmony,Macaque retina bipolar,scMAE+Harmony,scMAE+Harmony,ARI,0.9498314709724748
Méthodes généralistes + Harmony,Macaque retina bipolar,scMAE+Harmony,scMAE+Harmony,Batch correction,0.4948637274267573
Méthodes généralistes + Harmony,Macaque retina bipolar,scMAE+Harmony,scMAE+Harmony,RareACC,0.9125412541254124
Méthodes généralistes + Harmony,Macaque retina bipolar,scMAE+Harmony,scMAE+Harmony,UltraRareACC,0.0
Méthodes généralistes + Harmony,Macaque retina bipolar,scNAME+Harmony,scNAME+Harmony,ACC,0.5534618177018018
Méthodes généralistes + Harmony,Macaque retina bipolar,scNAME+Harmony,scNAME+Harmony,ARI,0.4977276292673808
Méthodes généralistes + Harmony,Macaque retina bipolar,scNAME+Harmony,scNAME+Harmony,Batch correction,0.2289980725367315
Méthodes généralistes + Harmony,Macaque retina bipolar,scNAME+Harmony,scNAME+Harmony,RareACC,0.4377062706270627
Méthodes généralistes + Harmony,Macaque retina bipolar,scNAME+Harmony,scNAME+Harmony,UltraRareACC,0.0
Méthodes généralistes + Harmony,Macaque retina bipolar,scRAW,scRAW (trial_0017),ACC,0.9366708468087916
Méthodes généralistes + Harmony,Macaque retina bipolar,scRAW,scRAW (trial_0017),ARI,0.9244654129213528
Méthodes généralistes + Harmony,Macaque retina bipolar,scRAW,scRAW (trial_0017),Batch correction,0.6374791031394675
Méthodes généralistes + Harmony,Macaque retina bipolar,scRAW,scRAW (trial_0017),RareACC,0.957920792079208
Méthodes généralistes + Harmony,Macaque retina bipolar,scRAW,scRAW (trial_0017),UltraRareACC,0.6802721088435374
Méthodes généralistes + Harmony,Macaque retina bipolar,scVI,scvi,ACC,0.973467097881328
Méthodes généralistes + Harmony,Macaque retina bipolar,scVI,scvi,ARI,0.9654759305347524
Méthodes généralistes + Harmony,Macaque retina bipolar,scVI,scvi,Batch correction,0.6828404179136567
Méthodes généralistes + Harmony,Macaque retina bipolar,scVI,scvi,RareACC,0.9179042904290428
Méthodes généralistes + Harmony,Macaque retina bipolar,scVI,scvi,UltraRareACC,0.0
Méthodes généralistes + Harmony,Paul15 bone marrow,Harmony,Harmony,ACC,0.4721611721611721
Méthodes généralistes + Harmony,Paul15 bone marrow,Harmony,Harmony,ARI,0.3121015375122115
Méthodes généralistes + Harmony,Paul15 bone marrow,Harmony,Harmony,Batch correction,
Méthodes généralistes + Harmony,Paul15 bone marrow,Harmony,Harmony,RareACC,0.2265795206971677
Méthodes généralistes + Harmony,Paul15 bone marrow,Harmony,Harmony,UltraRareACC,0.0
Méthodes généralistes + Harmony,Paul15 bone marrow,scMAE+Harmony,scMAE+Harmony,ACC,0.5113553113553113
Méthodes généralistes + Harmony,Paul15 bone marrow,scMAE+Harmony,scMAE+Harmony,ARI,0.3855814252211918
Méthodes généralistes + Harmony,Paul15 bone marrow,scMAE+Harmony,scMAE+Harmony,Batch correction,
Méthodes généralistes + Harmony,Paul15 bone marrow,scMAE+Harmony,scMAE+Harmony,RareACC,0.4335511982570806
Méthodes généralistes + Harmony,Paul15 bone marrow,scMAE+Harmony,scMAE+Harmony,UltraRareACC,0.7419354838709677
Méthodes généralistes + Harmony,Paul15 bone marrow,scNAME+Harmony,scNAME+Harmony,ACC,0.4641025641025641
Méthodes généralistes + Harmony,Paul15 bone marrow,scNAME+Harmony,scNAME+Harmony,ARI,0.3247937858369579
Méthodes généralistes + Harmony,Paul15 bone marrow,scNAME+Harmony,scNAME+Harmony,Batch correction,
Méthodes généralistes + Harmony,Paul15 bone marrow,scNAME+Harmony,scNAME+Harmony,RareACC,0.457516339869281
Méthodes généralistes + Harmony,Paul15 bone marrow,scNAME+Harmony,scNAME+Harmony,UltraRareACC,0.7419354838709677
Méthodes généralistes + Harmony,Paul15 bone marrow,scRAW,scRAW (trial_0017),ACC,0.4161172161172161
Méthodes généralistes + Harmony,Paul15 bone marrow,scRAW,scRAW (trial_0017),ARI,0.2832245907007426
Méthodes généralistes + Harmony,Paul15 bone marrow,scRAW,scRAW (trial_0017),Batch correction,
Méthodes généralistes + Harmony,Paul15 bone marrow,scRAW,scRAW (trial_0017),RareACC,0.1263616557734204
Méthodes généralistes + Harmony,Paul15 bone marrow,scRAW,scRAW (trial_0017),UltraRareACC,0.0
Méthodes généralistes + Harmony,Paul15 bone marrow,scVI,scvi,ACC,0.4029304029304029
Méthodes généralistes + Harmony,Paul15 bone marrow,scVI,scvi,ARI,0.2831814817193258
Méthodes généralistes + Harmony,Paul15 bone marrow,scVI,scvi,Batch correction,
Méthodes généralistes + Harmony,Paul15 bone marrow,scVI,scvi,RareACC,0.4989106753812636
Méthodes généralistes + Harmony,Paul15 bone marrow,scVI,scvi,UltraRareACC,0.0
Méthodes généralistes + Harmony,Tabula Muris liver,Harmony,Harmony,ACC,0.7093389296956978
Méthodes généralistes + Harmony,Tabula Muris liver,Harmony,Harmony,ARI,0.5348378026118584
Méthodes généralistes + Harmony,Tabula Muris liver,Harmony,Harmony,Batch correction,
Méthodes généralistes + Harmony,Tabula Muris liver,Harmony,Harmony,RareACC,0.1345291479820627
Méthodes généralistes + Harmony,Tabula Muris liver,Harmony,Harmony,UltraRareACC,
Méthodes généralistes + Harmony,Tabula Muris liver,scMAE+Harmony,scMAE+Harmony,ACC,0.60265827212312
Méthodes généralistes + Harmony,Tabula Muris liver,scMAE+Harmony,scMAE+Harmony,ARI,0.4905798474289589
Méthodes généralistes + Harmony,Tabula Muris liver,scMAE+Harmony,scMAE+Harmony,Batch correction,
