family,dataset,method,source_method,ARI,ACC,BalancedACC,RareACC,BalancedRareACC,UltraRareACC,Batch correction
Méthodes généralistes + Harmony,Kang PBMC,scRAW,scRAW (trial_0017),0.5459843343891061,0.7057650028499308,0.5641141790530496,0.678125,0.7142094017094017,0.8173076923076923,0.6843171205513716
Méthodes généralistes + Harmony,Macaque retina bipolar,scRAW,scRAW (trial_0017),0.9244654129213528,0.9366708468087916,0.914858085822702,0.957920792079208,0.9037712136460482,0.6802721088435374,0.6374791031394675
Méthodes généralistes + Harmony,Paul15 bone marrow,scRAW,scRAW (trial_0017),0.2832245907007426,0.4161172161172161,0.3697830604541274,0.1263616557734204,0.2113500597371565,0.0,
Méthodes généralistes + Harmony,Tabula Muris liver,scRAW,scRAW (trial_0017),0.6827909308919632,0.745715285064708,0.5921954950000582,0.3228699551569506,0.4,,
Méthodes généralistes + Harmony,BBAG094 Zeisel,Harmony,Harmony,0.3877432473485119,0.6061210911510313,0.4941708484208739,0.4,0.2947409733124019,0.5555555555555556,0.2541259979715826
Méthodes généralistes + Harmony,BBAG094 spleen,Harmony,Harmony,0.5179008566834543,0.6870812395309883,0.8313097042299045,0.9904891304347826,0.9877531472359058,0.9761904761904762,0.8111773863951631
Méthodes généralistes + Harmony,Baron human pancreas,Harmony,Harmony,0.8506457118079013,0.8913525498891353,0.7545993782092808,0.8114602587800369,0.6640864066022861,0.788135593220339,0.7365166477963205
Méthodes généralistes + Harmony,Human testis GSE112013,Harmony,Harmony,0.6523338776655068,0.7303543913713405,0.8132452063547618,0.9063475546305932,0.9129847638506812,0.9285714285714286,0.7969653197013047
Méthodes généralistes + Harmony,Kang PBMC,Harmony,Harmony,0.773630664005735,0.7528483072916666,0.5918663568688751,0.3276661514683153,0.3808785529715762,0.5395348837209303,0.7261262096182571
Méthodes généralistes + Harmony,Macaque retina bipolar,Harmony,Harmony,0.9412624306387202,0.9651178140056762,0.895961544594051,0.9245049504950495,0.7388904574471318,0.0068027210884353,0.6769074050934891
Méthodes généralistes + Harmony,Paul15 bone marrow,Harmony,Harmony,0.3121015375122115,0.4721611721611721,0.4222518877112269,0.2265795206971677,0.2845632159673905,0.0,
Méthodes généralistes + Harmony,Tabula Muris liver,Harmony,Harmony,0.5348378026118584,0.7093389296956978,0.5714676132181757,0.1345291479820627,0.2,,
Méthodes généralistes + Harmony,BBAG094 Zeisel,scMAE+Harmony,scMAE+Harmony,0.1287886710829468,0.3632734530938123,0.2975260603354873,0.3189189189189189,0.2898024594453166,0.5185185185185185,0.3879210077438746
Méthodes généralistes + Harmony,BBAG094 spleen,scMAE+Harmony,scMAE+Harmony,0.9110727210223653,0.9547738693467336,0.7202098131632725,0.7214673913043478,0.5459145427286357,0.0,0.7667966416202827
Méthodes généralistes + Harmony,Baron human pancreas,scMAE+Harmony,scMAE+Harmony,0.7701536430949616,0.7884233866262108,0.694568979418477,0.9279112754158964,0.6473142020187753,0.6779661016949152,0.6040684940211346
Méthodes généralistes + Harmony,Human testis GSE112013,scMAE+Harmony,scMAE+Harmony,0.6505666399402998,0.7240369799691834,0.7347979999173849,0.8407908428720083,0.6518376943253791,0.0,0.7517465783584988
Méthodes généralistes + Harmony,Kang PBMC,scMAE+Harmony,scMAE+Harmony,0.7600300829494404,0.7481068316912304,0.5280484555689244,0.1640625,0.1314992877492878,0.0384615384615384,0.5612853889732877
Méthodes généralistes + Harmony,Macaque retina bipolar,scMAE+Harmony,scMAE+Harmony,0.9498314709724748,0.9726750709524123,0.8944293840425735,0.9125412541254124,0.7282285026174162,0.0,0.4948637274267573
Méthodes généralistes + Harmony,Paul15 bone marrow,scMAE+Harmony,scMAE+Harmony,0.3855814252211918,0.5113553113553113,0.5512437200023189,0.4335511982570806,0.5825744794449246,0.7419354838709677,
Méthodes généralistes + Harmony,Tabula Muris liver,scMAE+Harmony,scMAE+Harmony,0.4905798474289589,0.60265827212312,0.5178620727682129,0.1300448430493273,0.1933333333333333,,
Méthodes généralistes + Harmony,BBAG094 Zeisel,scNAME+Harmony,scNAME+Harmony,0.7223266237847019,0.7425149700598802,0.4545171032342542,0.0324324324324324,0.0506279434850863,0.1851851851851851,0.4018604065877763
Méthodes généralistes + Harmony,BBAG094 spleen,scNAME+Harmony,scNAME+Harmony,0.6206498848755925,0.8223408710217756,0.8772444475118644,0.9103260869565216,0.8889034649341996,0.8333333333333334,0.3099181470645217
Méthodes généralistes + Harmony,Baron human pancreas,scNAME+Harmony,scNAME+Harmony,0.7284015804157328,0.7375423036527016,0.5226084156713737,0.5609981515711645,0.3749170977262409,0.4576271186440678,0.3087301055886641
Méthodes généralistes + Harmony,Human testis GSE112013,scNAME+Harmony,scNAME+Harmony,0.653132875702755,0.7959938366718028,0.7704514598694635,0.8272632674297606,0.6416496065510844,0.0,0.4296710772303703
Méthodes généralistes + Harmony,Kang PBMC,scNAME+Harmony,scNAME+Harmony,0.4920942892840363,0.490391661916782,0.424564335050672,0.246875,0.2626424501424501,0.3076923076923077,0.4232156825329959
Méthodes généralistes + Harmony,Macaque retina bipolar,scNAME+Harmony,scNAME+Harmony,0.4977276292673808,0.5534618177018018,0.4369752201344228,0.4377062706270627,0.2843061824155335,0.0,0.2289980725367315
Méthodes généralistes + Harmony,Paul15 bone marrow,scNAME+Harmony,scNAME+Harmony,0.3247937858369579,0.4641025641025641,0.5304396452032624,0.457516339869281,0.5797275178629149,0.7419354838709677,
Méthodes généralistes + Harmony,Tabula Muris liver,scNAME+Harmony,scNAME+Harmony,0.4770633166506851,0.602308499475341,0.4381045418779579,0.0044843049327354,0.0066666666666666,,
Méthodes généralistes + Harmony,BBAG094 Zeisel,scVI,scvi,0.5133594314543674,0.7162341982701265,0.6478258705197553,0.6270270270270271,0.4648940345368917,0.5555555555555556,0.4423447401311677
Méthodes généralistes + Harmony,BBAG094 spleen,scVI,scvi,0.5720050774011771,0.7958542713567839,0.9125143151551725,0.9334239130434784,0.9618753123438282,1.0,0.8365897766791757
Méthodes généralistes + Harmony,Baron human pancreas,scVI,scvi,0.6211343823250206,0.7116349632395845,0.6271309826707803,0.9177449168207024,0.5420885951420742,0.4661016949152542,0.6295033373683816
Méthodes généralistes + Harmony,Human testis GSE112013,scVI,scvi,0.5938167523297926,0.725115562403698,0.747900678920652,0.9146722164412072,0.7069520970613951,0.0,0.7754604613797713
Méthodes généralistes + Harmony,Kang PBMC,scVI,scvi,0.8047318184810032,0.8142903645833334,0.5239273572022959,0.1576506955177743,0.127400947459087,0.0372093023255813,0.6617871605130773
Méthodes généralistes + Harmony,Macaque retina bipolar,scVI,scvi,0.9654759305347524,0.973467097881328,0.8909606003488132,0.9179042904290428,0.732801385865171,0.0,0.6828404179136567
Méthodes généralistes + Harmony,Paul15 bone marrow,scVI,scvi,0.2831814817193258,0.4029304029304029,0.440183370089189,0.4989106753812636,0.4542713920404891,0.0,
Méthodes généralistes + Harmony,Tabula Muris liver,scVI,scvi,0.5185440830144872,0.6876530255334032,0.5555620878652687,0.1300448430493273,0.1933333333333333,,
