family,dataset,method,source_method,metric,value
Correction batch,Macaque retina bipolar,Harmony,Harmony,UltraRareACC,0.0068027210884353
Correction batch,Macaque retina bipolar,Scanorama,Scanorama,ACC,0.3987195564649198
Correction batch,Macaque retina bipolar,Scanorama,Scanorama,ARI,0.3508338377624355
Correction batch,Macaque retina bipolar,Scanorama,Scanorama,Batch correction,0.343598315990992
Correction batch,Macaque retina bipolar,Scanorama,Scanorama,RareACC,0.6258250825082509
Correction batch,Macaque retina bipolar,Scanorama,Scanorama,UltraRareACC,0.7619047619047619
Correction batch,Macaque retina bipolar,scRAW,scRAW (trial_0017),ACC,0.9366708468087916
Correction batch,Macaque retina bipolar,scRAW,scRAW (trial_0017),ARI,0.9244654129213528
Correction batch,Macaque retina bipolar,scRAW,scRAW (trial_0017),Batch correction,0.6374791031394675
Correction batch,Macaque retina bipolar,scRAW,scRAW (trial_0017),RareACC,0.957920792079208
Correction batch,Macaque retina bipolar,scRAW,scRAW (trial_0017),UltraRareACC,0.6802721088435374
Correction batch,Macaque retina bipolar,scVI,scvi,ACC,0.973467097881328
Correction batch,Macaque retina bipolar,scVI,scvi,ARI,0.9654759305347524
Correction batch,Macaque retina bipolar,scVI,scvi,Batch correction,0.6828404179136567
Correction batch,Macaque retina bipolar,scVI,scvi,RareACC,0.9179042904290428
Correction batch,Macaque retina bipolar,scVI,scvi,UltraRareACC,0.0
Correction batch,Paul15 bone marrow,ComBat,ComBat,ACC,0.4681318681318681
Correction batch,Paul15 bone marrow,ComBat,ComBat,ARI,0.3131819439662315
Correction batch,Paul15 bone marrow,ComBat,ComBat,Batch correction,
Correction batch,Paul15 bone marrow,ComBat,ComBat,RareACC,0.3202614379084967
Correction batch,Paul15 bone marrow,ComBat,ComBat,UltraRareACC,0.0
Correction batch,Paul15 bone marrow,DESC,DESC,ACC,0.358974358974359
Correction batch,Paul15 bone marrow,DESC,DESC,ARI,0.2816923202460899
Correction batch,Paul15 bone marrow,DESC,DESC,Batch correction,
