family,dataset,method,source_method,ARI,ACC,BalancedACC,RareACC,BalancedRareACC,UltraRareACC,Batch correction
Rare Specific,Kang PBMC,DeepScena,DeepScena,0.7727101413307176,0.7494225860042951,0.5591495682905769,0.2630057803468208,0.2512286324786325,,0.5043353781506493
Rare Specific,Macaque retina bipolar,DeepScena,DeepScena,0.0463661543699029,0.2729192792554947,0.1387329166213815,0.0255775577557755,0.0360079966736931,0.0952380952380952,0.517319398896821
Rare Specific,Paul15 bone marrow,DeepScena,DeepScena,0.2768069073927794,0.3157509157509157,0.2081181333474392,0.1111111111111111,0.1383796570937346,0.032258064516129,
Rare Specific,Tabula Muris liver,DeepScena,DeepScena,0.8235452463351149,0.8219657222805177,0.4853192816326208,0.0269058295964125,0.04,,
Rare Specific,BBAG094 Zeisel,CellSIUS,CellSIUS,0.5721813494355713,0.6250831669993346,0.5737509229307068,0.4864864864864865,0.6363226059654631,0.5925925925925926,0.3791070390860109
Rare Specific,BBAG094 spleen,CellSIUS,CellSIUS,0.465211490129131,0.6865577889447236,0.8205317753306061,0.6942934782608695,0.8361694152923538,1.0,0.5635786119930313
Rare Specific,Baron human pancreas,CellSIUS,CellSIUS,0.6655984842183298,0.7306570194888552,0.7025731741587457,0.7846580406654344,0.6499624945055662,0.635593220338983,0.5497402004745524
Rare Specific,Human testis GSE112013,CellSIUS,CellSIUS,0.5809163003977524,0.6642526964560863,0.7063720158022352,0.8126951092611863,0.7691479971690871,0.6071428571428571,0.6667543334823619
Rare Specific,Kang PBMC,CellSIUS,CellSIUS,0.7754337594247781,0.7504682029150721,0.5716616600833417,0.19375,0.2980769230769231,0.5961538461538461,0.5233528215257864
Rare Specific,Macaque retina bipolar,CellSIUS,CellSIUS,0.4966767713999813,0.5243548280641542,0.6019188899453649,0.9253300330033004,0.7431294638515911,0.0204081632653061,0.5082633237081394
Rare Specific,Paul15 bone marrow,CellSIUS,CellSIUS,0.3405759360259529,0.4875457875457875,0.4855921344301374,0.3289760348583878,0.4264042676302391,0.5806451612903226,
Rare Specific,Tabula Muris liver,CellSIUS,CellSIUS,0.3648315181321307,0.4966771598461,0.5625364597649519,0.5426008968609866,0.5069246031746031,,
Méthodes généralistes,BBAG094 Zeisel,scRAW,scRAW (trial_0017),0.4301883295024661,0.6407185628742516,0.5695202861675058,0.6108108108108108,0.3942307692307692,0.5555555555555556,0.4000360971162749
Méthodes généralistes,BBAG094 spleen,scRAW,scRAW (trial_0017),0.8700744463231944,0.8291457286432161,0.7309318547414984,0.5285326086956522,0.7420385045572452,0.9761904761904762,0.7909291345199329
Méthodes généralistes,Baron human pancreas,scRAW,scRAW (trial_0017),0.9158965181979905,0.9337145524565292,0.8702221194567779,0.8955637707948244,0.837473323530332,0.8135593220338984,0.5749552605057935
Méthodes généralistes,Human testis GSE112013,scRAW,scRAW (trial_0017),0.6107002323051303,0.7178736517719568,0.7963247792238903,0.9667013527575442,0.89321124021709,0.6428571428571429,0.7303536766041685
Méthodes généralistes,Kang PBMC,scRAW,scRAW (trial_0017),0.5459843343891061,0.7057650028499308,0.5641141790530496,0.678125,0.7142094017094017,0.8173076923076923,0.6843171205513716
Méthodes généralistes,Macaque retina bipolar,scRAW,scRAW (trial_0017),0.9244654129213528,0.9366708468087916,0.914858085822702,0.957920792079208,0.9037712136460482,0.6802721088435374,0.6374791031394675
Méthodes généralistes,Paul15 bone marrow,scRAW,scRAW (trial_0017),0.2832245907007426,0.4161172161172161,0.3697830604541274,0.1263616557734204,0.2113500597371565,0.0,
Méthodes généralistes,Tabula Muris liver,scRAW,scRAW (trial_0017),0.6827909308919632,0.745715285064708,0.5921954950000582,0.3228699551569506,0.4,,
Méthodes généralistes,BBAG094 Zeisel,PCA+Leiden,pca_leiden,0.6323066051146811,0.7904191616766467,0.6489228730178531,0.4864864864864865,0.3355572998430141,0.5555555555555556,0.3791070589542258
Méthodes généralistes,BBAG094 spleen,PCA+Leiden,pca_leiden,0.4329535845203762,0.6063651591289783,0.8100642576344373,0.9918478260869564,0.9884715380405036,0.9761904761904762,0.5542372781112341
Méthodes généralistes,Baron human pancreas,PCA+Leiden,pca_leiden,0.6657082726176691,0.7271560275411366,0.7162766791066312,0.8123844731977818,0.6702644333685482,0.7966101694915254,0.5484810301653094
Méthodes généralistes,Human testis GSE112013,PCA+Leiden,pca_leiden,0.6263413988607033,0.7437596302003082,0.7589806035619334,0.9209157127991676,0.7122565101667626,0.0,0.6622977291899567
Méthodes généralistes,Kang PBMC,PCA+Leiden,pca_leiden,0.7744139506266788,0.7536438400781695,0.5948205929684951,0.33125,0.3912037037037037,0.5625,0.7261262096182571
Méthodes généralistes,Macaque retina bipolar,PCA+Leiden,pca_leiden,0.4966672240383485,0.524552834796383,0.6030929305541207,0.9253300330033004,0.7456420107826937,0.0340136054421768,0.5095256903957548
Méthodes généralistes,Paul15 bone marrow,PCA+Leiden,pca_leiden,0.3114619501326496,0.4725274725274725,0.4220902090046565,0.2265795206971677,0.2845632159673905,0.0,
Méthodes généralistes,Tabula Muris liver,PCA+Leiden,pca_leiden,0.5543951034735616,0.7191325638335082,0.5733014570131655,0.1345291479820627,0.2,,
Méthodes généralistes,BBAG094 Zeisel,scMAE,scMAE,0.6915778760086706,0.8320026613439787,0.7488154918637718,0.772972972972973,0.5531593406593407,0.5555555555555555,0.4079239860378605
Méthodes généralistes,BBAG094 spleen,scMAE,scMAE,0.9195723061274058,0.958856783919598,0.717873800852001,0.7092391304347826,0.5394490254872564,0.0,0.5508830288905475
