dataset,algorithm,variant,metric,mean,std,n
bbag094_spleen,DESC,baseline,BalancedRareACC,0.7926724137931034,0.18173342202032589,5
bbag094_spleen,DESC,baseline,RareACC,0.9519021739130435,0.0299005667467514,5
bbag094_spleen,DESC,baseline,UltraRareACC,0.4,0.5477225575051662,5
bbag094_spleen,DESC,density_only,ARI,0.374441179588917,0.0456502031202963,5
bbag094_spleen,DESC,density_only,BalancedRareACC,0.7260057471264367,0.14755771609063179,5
bbag094_spleen,DESC,density_only,RareACC,0.9404891304347828,0.0229253470699959,5
bbag094_spleen,DESC,density_only,UltraRareACC,0.2,0.4472135954999579,5
bbag094_spleen,DESC,density_only_triplet_kmeans,ARI,0.3478799310220457,0.021385459563494,5
bbag094_spleen,DESC,density_only_triplet_kmeans,BalancedRareACC,0.7232783608195902,0.15157326099108126,5
bbag094_spleen,DESC,density_only_triplet_kmeans,RareACC,0.8839673913043479,0.1345472337758367,5
bbag094_spleen,DESC,density_only_triplet_kmeans,UltraRareACC,0.4,0.5477225575051662,5
bbag094_spleen,DESC,full_kmeans,ARI,0.3935347042027849,0.0422294745362861,5
bbag094_spleen,DESC,full_kmeans,BalancedRareACC,0.727736726874658,0.146668098622574,5
bbag094_spleen,DESC,full_kmeans,RareACC,0.9410326086956522,0.0226865559399367,5
bbag094_spleen,DESC,full_kmeans,UltraRareACC,0.2047619047619047,0.4446711439972858,5
bbag094_spleen,DESC,full_kmeans_triplet,ARI,0.3433091671055161,0.0406930167347441,5
bbag094_spleen,DESC,full_kmeans_triplet,BalancedRareACC,0.7842697698769663,0.17185100671490017,5
bbag094_spleen,DESC,full_kmeans_triplet,RareACC,0.9456521739130432,0.0267114174610563,5
bbag094_spleen,DESC,full_kmeans_triplet,UltraRareACC,0.3952380952380953,0.5412675138431551,5
bbag094_spleen,DESC,full_leiden,ARI,0.3819553701141177,0.0332971766253243,5
bbag094_spleen,DESC,full_leiden,BalancedRareACC,0.7899356869184455,0.18093152822131378,5
bbag094_spleen,DESC,full_leiden,RareACC,0.9494565217391304,0.0320000950716333,5
bbag094_spleen,DESC,full_leiden,UltraRareACC,0.3952380952380953,0.5412675138431551,5
bbag094_spleen,DESC,full_leiden_triplet,ARI,0.3203139385839459,0.0373301419254746,5
bbag094_spleen,DESC,full_leiden_triplet,BalancedRareACC,0.7906609195402299,0.18097360885862931,5
bbag094_spleen,DESC,full_leiden_triplet,RareACC,0.9480978260869564,0.0290360604218344,5
bbag094_spleen,DESC,full_leiden_triplet,UltraRareACC,0.4,0.5477225575051662,5
bbag094_spleen,scDeepCluster,baseline,ARI,0.2617993517836986,0.1735368930320644,5
bbag094_spleen,scDeepCluster,baseline,BalancedRareACC,0.6391857642607268,0.021401526677044386,5
bbag094_spleen,scDeepCluster,baseline,RareACC,0.8774456521739131,0.0403900706801351,5
bbag094_spleen,scDeepCluster,baseline,UltraRareACC,0.0428571428571428,0.0353152308909317,5
bbag094_spleen,scDeepCluster,density_only,ARI,0.3855862364693442,0.2415122880000291,5
bbag094_spleen,scDeepCluster,density_only,BalancedRareACC,0.5970117917231861,0.05014222121895585,5
bbag094_spleen,scDeepCluster,density_only,RareACC,0.8021739130434783,0.0995544777765853,5
bbag094_spleen,scDeepCluster,density_only,UltraRareACC,0.0523809523809523,0.0487950036474266,5
bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,ARI,0.3928335141833158,0.1173226717396581,5
bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,BalancedRareACC,0.3699589490968801,0.07396280575431065,5
bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,RareACC,0.4489130434782608,0.0541146492392525,5
bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,UltraRareACC,0.0714285714285714,0.1202322016471676,5
bbag094_spleen,scDeepCluster,full_kmeans,ARI,0.2917062515455825,0.1601812347394368,5
bbag094_spleen,scDeepCluster,full_kmeans,BalancedRareACC,0.5570731301016159,0.0462297904340649,5
bbag094_spleen,scDeepCluster,full_kmeans,RareACC,0.75,0.0912806888990164,5
bbag094_spleen,scDeepCluster,full_kmeans,UltraRareACC,0.0333333333333333,0.0361089306859597,5
bbag094_spleen,scDeepCluster,full_kmeans_triplet,ARI,0.3982844153914219,0.104444648703615,5
