phase,dataset,algorithm,variant,seed,metric,value,source_path
full,bbag094_spleen,scMAE,density_only,44,ARI,0.5505842499885357,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only,44,RareACC,0.9605978260869564,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only,45,ARI,0.5425756970015345,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only,45,RareACC,0.9211956521739132,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only,46,ARI,0.927364351719158,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only,46,RareACC,0.7269021739130435,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only,42,ARI,0.7025955835090945,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only,42,RareACC,0.779891304347826,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only,43,ARI,0.2642922387765717,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only,43,RareACC,0.8899456521739131,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only,44,ARI,0.4654973188647241,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only,44,RareACC,0.6399456521739131,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only,45,ARI,0.0557641210569469,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only,45,RareACC,0.8654891304347826,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only,46,ARI,0.4397819201393838,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only,46,RareACC,0.8355978260869565,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only,42,ARI,0.4352973631444489,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/desc/runs/seed_42/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only,42,RareACC,0.9279891304347826,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/desc/runs/seed_42/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only,43,ARI,0.389662130398852,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/desc/runs/seed_43/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only,43,RareACC,0.936141304347826,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/desc/runs/seed_43/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only,44,ARI,0.311515729171227,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/desc/runs/seed_44/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only,44,RareACC,0.9307065217391304,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/desc/runs/seed_44/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only,45,ARI,0.3545515092100592,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/desc/runs/seed_45/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only,45,RareACC,0.9266304347826086,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/desc/runs/seed_45/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only,46,ARI,0.3811791660199977,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/desc/runs/seed_46/results/analysis_results.csv
full,bbag094_spleen,DESC,density_only,46,RareACC,0.9809782608695652,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only/desc/runs/seed_46/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,42,ARI,0.9202024092878758,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,42,RareACC,0.7282608695652174,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,43,ARI,0.4896827351990159,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,43,RareACC,0.9239130434782608,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,44,ARI,0.9210067559316276,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,44,RareACC,0.6752717391304348,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,45,ARI,0.9156853496492716,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,45,RareACC,0.6616847826086957,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
