phase,dataset,algorithm,variant,metric,mean,std,min,max,n
full,bbag094_spleen,scDeepCluster,density_only,Silhouette,0.14992269555479557,0.17327429211360976,-0.011573386301628,0.4404428459772516,5
full,bbag094_spleen,scDeepCluster,density_only,runtime,586.6079663276672,21.309504359270484,562.0436415672302,610.6458156108856,5
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,ACC,0.7448492462311558,0.08477357473073167,0.6162060301507538,0.8397194304857621,5
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,ARI,0.3043731923041858,0.24859844849998117,0.117721202795479,0.7016305988673155,5
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,BalancedACC,0.328034896348482,0.07175240946179284,0.2516540442887981,0.4253001883662316,5
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,F1_Macro,0.3482443848018215,0.09047767029520984,0.258387529467989,0.4525495348627505,5
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,NMI,0.2624078495153678,0.16918385446304357,0.1232963795869539,0.5253288810020544,5
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,RareACC,0.18152173913043473,0.07082571704670264,0.0964673913043478,0.2472826086956521,5
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,Silhouette,0.09597149678592413,0.1220107371254334,-0.087982016342494,0.2125212450477188,5
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,runtime,777.12031416893,104.52553906226919,670.7879545688629,914.5267844200134,5
full,bbag094_spleen,scDeepCluster,full_kmeans,ACC,0.7732830820770519,0.15372581817562933,0.536641541038526,0.9058835845896148,5
full,bbag094_spleen,scDeepCluster,full_kmeans,ARI,0.4940549200250019,0.31840598706637613,0.0730921970931239,0.8199866728958275,5
full,bbag094_spleen,scDeepCluster,full_kmeans,BalancedACC,0.4813937719704121,0.06444352980653234,0.3943441552249869,0.568619866470717,5
full,bbag094_spleen,scDeepCluster,full_kmeans,F1_Macro,0.45037360600939014,0.06336008951938629,0.3402750232221693,0.5021257604893912,5
full,bbag094_spleen,scDeepCluster,full_kmeans,NMI,0.4339089419727875,0.2122895034942409,0.1313719733109385,0.6555685069513721,5
full,bbag094_spleen,scDeepCluster,full_kmeans,RareACC,0.31304347826086953,0.08986208024771143,0.217391304347826,0.4497282608695652,5
