phase,dataset,algorithm,variant,seed,metric,value,source_type,source_path,preset,weight_component_mode,pseudo_label_method,triplet_enabled,triplet_pseudo_label_method
smoke,paul15_bone_marrow,scMAE,density_only,42,ACC,0.4307692307692308,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,scMAE,density_only,42,F1_Macro,0.3150106752303149,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,scMAE,density_only,42,BalancedACC,0.3984188281934798,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,scMAE,density_only,42,RareACC,0.3376906318082788,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,scMAE,density_only,42,Silhouette,0.1766045093536377,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,scMAE,density_only,42,runtime,14.477195978164673,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,NMI,0.5358701121487549,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,ARI,0.2988609041221051,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,ACC,0.3772893772893773,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,F1_Macro,0.3285127074489596,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
