phase,dataset,algorithm,variant,seed,metric,variant_value,baseline_value,delta_vs_baseline
full,kang_pbmc,DESC,full_kmeans_triplet,42,F1_Macro,0.5234539023216964,0.5175192684534384,0.005934633868257988
full,kang_pbmc,DESC,full_kmeans_triplet,42,BalancedACC,0.6990548950494765,0.6956107554266151,0.0034441396228613863
full,kang_pbmc,DESC,full_kmeans_triplet,42,RareACC,0.8315301391035549,0.8330757341576507,-0.0015455950540957941
full,kang_pbmc,DESC,full_kmeans_triplet,42,Silhouette,0.8471410870552063,0.8596956133842468,-0.012554526329040527
full,kang_pbmc,DESC,full_kmeans_triplet,42,runtime,435.4442894458771,397.87730288505554,37.56698656082153
full,kang_pbmc,DESC,full_kmeans_triplet,43,NMI,0.724853683248969,0.7107265797258884,0.014127103523080664
full,kang_pbmc,DESC,full_kmeans_triplet,43,ARI,0.6434282810989177,0.6200714331805514,0.02335684791836634
full,kang_pbmc,DESC,full_kmeans_triplet,43,ACC,0.734619140625,0.6697591145833334,0.06486002604166663
full,kang_pbmc,DESC,full_kmeans_triplet,43,F1_Macro,0.567647408954285,0.5174165834239213,0.05023082553036373
full,kang_pbmc,DESC,full_kmeans_triplet,43,BalancedACC,0.7876488828615086,0.6927131360003981,0.0949357468611105
full,kang_pbmc,DESC,full_kmeans_triplet,43,RareACC,0.8423493044822257,0.8315301391035549,0.010819165378670781
full,kang_pbmc,DESC,full_kmeans_triplet,43,Silhouette,0.8484762907028198,0.849905788898468,-0.0014294981956481934
full,kang_pbmc,DESC,full_kmeans_triplet,43,runtime,455.44553327560425,394.6564259529114,60.78910732269287
full,kang_pbmc,DESC,full_kmeans_triplet,44,NMI,0.6732573911701666,0.6643141994419035,0.008943191728263078
full,kang_pbmc,DESC,full_kmeans_triplet,44,ARI,0.6763583885059192,0.658633755117645,0.017724633388274236
full,kang_pbmc,DESC,full_kmeans_triplet,44,ACC,0.6983642578125,0.6926676432291666,0.00569661458333337
full,kang_pbmc,DESC,full_kmeans_triplet,44,F1_Macro,0.4105843619924377,0.4085794461032807,0.002004915889157022
