dataset,dataset_key,method,method_display,ARI,BalancedACC,RareACC,Batch correction,result_row_id,trial_id,selected_final_method,source_type,prediction_status,has_prediction_table
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,scRAW (best per dataset),scRAW (best per dataset),0.8239553047227518,0.8553625622778421,0.9137788778877888,,REPORT_BEST_0003,trial_0062,,report_stage1_best_per_dataset,classwise_report_source,False
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,scNAME,scNAME,0.5560008671856864,0.5568777370473196,0.6514026402640264,0.3658574137446598,TR206R_0105,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,scMAE,scMAE,0.8009215039657596,0.7548199390978384,0.9146039603960396,0.3820249376532039,TR206R_0106,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,Harmony,Harmony,0.9412624306387202,0.895961544594051,0.9245049504950495,0.6769074050934891,TR206R_0107,,,baseline_completion_key04_completion_20260330_111233,ok,True
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,ComBat,ComBat,0.97082643273994,0.9719081754748944,0.969059405940594,0.5964707251055555,TR206R_0108,,,baseline_completion_key04_completion_20260330_111233,ok,True
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,Scanorama,Scanorama,0.3508338377624355,0.4594116351557107,0.6258250825082509,0.343598315990992,TR206R_0109,,,baseline_completion_key04_completion_20260330_111233,ok,True
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,DESC,DESC,0.8048055878978411,0.7553245466943022,0.9249174917491748,0.6661431378497795,TR206R_0110,,,baseline_completion_key04_completion_20260330_111233,ok,True
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,pca_leiden,PCA+Leiden,0.4966672240383485,0.6030929305541207,0.9253300330033004,0.5095256903957548,TR206R_0114,pca_leiden,,,missing,False
Macaque retina bipolar,macaque_retina_gse118480_bipolar_raw_counts,scvi,scVI,0.9654759305347524,0.8909606003488132,0.9179042904290428,0.6828404179136567,TR206R_0243,,,scvi_article_baseline,ok,True
Pancreas,pancreas_raw_counts,scRAW (default),scRAW (default),0.8450676223803579,0.6510848314928671,0.8272162619988707,0.567787485715763,TR206R_0115,,hdbscan_final,single_seed_seed60_stage_umaps_rerun,ok,True
Pancreas,pancreas_raw_counts,scRAW (trial_0017),scRAW (trial 0017),0.5038730609858753,0.6575788271063779,0.8626077586206896,0.5651678746283664,TR206R_0131,trial_0017,leiden_target14_final,single_seed_generalist_trial_0017,missing,False
Pancreas,pancreas_raw_counts,scNAME,scNAME,0.445522787272624,0.4675608401750252,0.5630387931034483,0.3114188787870838,TR206R_0124,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
Pancreas,pancreas_raw_counts,scMAE,scMAE,0.4750699476174007,0.5903803720898598,0.6433189655172413,0.4330383884039029,TR206R_0125,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
Pancreas,pancreas_raw_counts,Harmony,Harmony,0.9160387883125628,0.6393066490296152,0.8292025862068966,0.6362207563995296,TR206R_0126,,,single_seed,ok,True
Pancreas,pancreas_raw_counts,ComBat,ComBat,0.6409220786994971,0.652251074476822,0.8464439655172413,0.5500129008945025,TR206R_0127,,,single_seed,ok,True
Pancreas,pancreas_raw_counts,Scanorama,Scanorama,0.2607344474339429,0.5947805887338993,0.6966594827586207,0.4467444295156442,TR206R_0128,,,single_seed,ok,True
Pancreas,pancreas_raw_counts,DESC,DESC,0.4421042954545937,0.4791803943268248,0.8162715517241379,0.4845954586811909,TR206R_0129,,,single_seed,ok,True
Pancreas,pancreas_raw_counts,pca_leiden,PCA+Leiden,0.4335403903711979,0.5108310623601543,0.6330818965517241,0.4895171476623031,TR206R_0132,pca_leiden,,,missing,False
Pancreas,pancreas_raw_counts,scvi,scVI,0.7235760278272063,0.6577969656827856,0.9181253529079616,0.5715106692673666,TR206R_0247,,,scvi_article_baseline,ok,True
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,scRAW (default),scRAW (default),0.5104072299757603,0.5704988274750387,0.8475609756097561,0.3872388593555172,TR206R_0133,,hdbscan_final,single_seed_seed60_stage_umaps_rerun,ok,True
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,scRAW (trial_0017),scRAW (trial 0017),0.7910425667270795,0.6337023795398855,0.8292682926829268,0.5114658433707924,TR206R_0148,trial_0017,hdbscan_final,single_seed_generalist_trial_0017,missing,False
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,scNAME,scNAME,0.5015979929915588,0.4502958678211224,0.6463414634146342,0.2235026467172519,TR206R_0141,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,scMAE,scMAE,0.5018109406973178,0.5400380078496823,0.8170731707317073,0.3530305689744973,TR206R_0142,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,Harmony,Harmony,0.8172518501347212,0.7348216031867317,0.8475609756097561,0.6692502411362682,TR206R_0143,,,baseline_completion_key04_completion_20260330_111233,ok,True
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,ComBat,ComBat,0.8387402821891468,0.7202169903088399,0.8323170731707317,0.5865673946002343,TR206R_0144,,,baseline_completion_key04_completion_20260330_111233,ok,True
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,Scanorama,Scanorama,0.4319774701984661,0.6932900139346412,0.8536585365853658,0.6097965976279678,TR206R_0145,,,baseline_completion_key04_completion_20260330_111233,ok,True
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,DESC,DESC,0.474499255698211,0.5209918809744369,0.7835365853658537,0.3037996107480009,TR206R_0146,,,single_seed,ok,True
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,pca_leiden,PCA+Leiden,0.4444062718574821,0.6096567243283131,0.8780487804878049,0.4780086169576405,TR206R_0149,pca_leiden,,,missing,False
Pancreas 4 batches,pancreas_raw_counts_four_batches_celseq_celseq2_fluidigmc1_smartseq2,scvi,scVI,0.5948725671660814,0.6220114333334087,0.8109756097560976,0.5301276490613558,TR206R_0244,,,scvi_article_baseline,ok,True
Paul15 bone marrow,paul15_bone_marrow_raw_counts,scRAW (default),scRAW (default),0.3049465196948254,0.3140666751966156,0.1285403050108932,0.5821046562918767,TR206R_0150,,hdbscan_final,single_seed_seed60_stage_umaps_rerun,ok,True
Paul15 bone marrow,paul15_bone_marrow_raw_counts,scRAW (trial_0017),scRAW (trial 0017),0.2832245907007426,0.3697830604541274,0.1263616557734204,0.6825639410339949,TR206R_0167,trial_0017,leiden_target19_final,single_seed_generalist_trial_0017,missing,False
Paul15 bone marrow,paul15_bone_marrow_raw_counts,scRAW (best per dataset),scRAW (best per dataset),0.3240185365807878,0.3077849904166553,0.1285403050108932,0.8296026303245853,REPORT_BEST_0004,trial_0009,,report_stage1_best_per_dataset,classwise_report_source,False
Paul15 bone marrow,paul15_bone_marrow_raw_counts,scNAME,scNAME,0.3592682758043509,0.4849947148448927,0.4248366013071895,0.5128086808432537,TR206R_0159,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
Paul15 bone marrow,paul15_bone_marrow_raw_counts,scMAE,scMAE,0.3855814252211918,0.5512437200023189,0.4335511982570806,0.751672302509221,TR206R_0160,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
Paul15 bone marrow,paul15_bone_marrow_raw_counts,Harmony,Harmony,0.3121015375122115,0.4222518877112269,0.2265795206971677,0.6420492712853795,TR206R_0161,,,baseline_completion_key04_completion_20260330_111233,ok,True
Paul15 bone marrow,paul15_bone_marrow_raw_counts,ComBat,ComBat,0.3131819439662315,0.4443013260843063,0.3202614379084967,0.6420492712853795,TR206R_0162,,,baseline_completion_key04_completion_20260330_111233,ok,True
Paul15 bone marrow,paul15_bone_marrow_raw_counts,Scanorama,Scanorama,0.3114619501326496,0.4220902090046565,0.2265795206971677,0.6420492712853795,TR206R_0163,,,baseline_completion_key04_completion_20260330_111233,ok,True
Paul15 bone marrow,paul15_bone_marrow_raw_counts,DESC,DESC,0.2816923202460899,0.2958177487591906,0.130718954248366,0.5635174015429282,TR206R_0164,,,baseline_completion_key04_completion_20260330_111233,ok,True
Paul15 bone marrow,paul15_bone_marrow_raw_counts,pca_leiden,PCA+Leiden,0.3114619501326496,0.4220902090046565,0.2265795206971677,0.6420492712853795,TR206R_0168,pca_leiden,,,missing,False
Paul15 bone marrow,paul15_bone_marrow_raw_counts,scvi,scVI,0.2831814817193258,0.440183370089189,0.4989106753812636,0.9081955387661014,TR206R_0245,,,scvi_article_baseline,ok,True
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,scRAW (default),scRAW (default),0.939889527812823,0.6787497946475982,0.6235294117647059,0.9244816857374544,TR206R_0169,,hdbscan_final,single_seed_seed60_stage_umaps_rerun,ok,True
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,scRAW (trial_0017),scRAW (trial 0017),0.9035426457714304,0.6921547708749113,0.6352941176470588,0.9360064542874192,TR206R_0184,trial_0017,leiden_target14_final,single_seed_generalist_trial_0017,missing,False
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,scNAME,scNAME,0.8869776428306255,0.7830498203244701,0.9058823529411764,0.8400190048427743,TR206R_0177,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,scMAE,scMAE,0.8103108580915911,0.7962689503141445,0.6627450980392157,0.9475901785158884,TR206R_0178,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,Harmony,Harmony,0.6808159332490415,0.809480388659329,0.7725490196078432,0.9274927142557688,TR206R_0179,,,baseline_completion_key04_completion_20260330_111233,ok,True
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,ComBat,ComBat,0.6794252266276883,0.8093165616606396,0.7725490196078432,0.9274927142557688,TR206R_0180,,,baseline_completion_key04_completion_20260330_111233,ok,True
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,Scanorama,Scanorama,0.6808159332490415,0.809480388659329,0.7725490196078432,0.9274927142557688,TR206R_0181,,,baseline_completion_key04_completion_20260330_111233,ok,True
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,DESC,DESC,0.9656196049758292,0.703461104705201,0.8745098039215686,0.7799230898973425,TR206R_0182,,,baseline_completion_key04_completion_20260330_111233,ok,True
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,pca_leiden,PCA+Leiden,0.6808159332490415,0.809480388659329,0.7725490196078432,0.9274927142557688,TR206R_0185,pca_leiden,,,missing,False
SCIB Human Pancreas 1,Human_Pancreas_1_raw_counts,scvi,scVI,0.4410190644164899,0.6424205603285172,0.7215686274509804,0.959722512380014,TR206R_0248,,,scvi_article_baseline,ok,True
